Query,BPM
Anti-Hero Taylor Swift,97
Paris Taylor Swift,111
Mastermind Taylor Swift,126
Sweet Nothing Taylor Swift,176
Strings iyla,80
Take The Stairs COIN,127
The Kiss Of Venus (Dominic Fike) Paul McCartney,90
Hope You're Not Happy Ashe,71
Rare Selena Gomez,115
Heaven Bazzi
Girls The 1975
Los Días Raros Vetusta Morla
Staring At The Sun (feat. SZA) Post Malone
The Weekend SZA
Green Light Lorde
Sober Lorde
Homemade Dynamite Lorde
The Louvre Lorde
Liability Lorde
Hard Feelings/Loveless Lorde
Sober II (Melodrama) Lorde
Writer In The Dark Lorde
Supercut Lorde
Liability (Reprise) Lorde
Perfect Places Lorde
shut up Ariana Grande
34+35 Ariana Grande
motive (with Doja Cat) Ariana Grande
just like magic Ariana Grande
off the table (with The Weeknd) Ariana Grande
six thirty Ariana Grande
safety net (feat. Ty Dolla $ign) Ariana Grande
my hair Ariana Grande
nasty Ariana Grande
west side Ariana Grande
love language Ariana Grande
positions Ariana Grande
obvious Ariana Grande
pov Ariana Grande
someone like u - interlude Ariana Grande
test drive Ariana Grande
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix Ariana Grande"
worst behavior Ariana Grande
main thing Ariana Grande
Supermodel SZA
Love Galore (feat. Travis Scott) SZA
Doves In The Wind (feat. Kendrick Lamar) SZA
Drew Barrymore SZA
Prom SZA
Go Gina SZA
Garden (Say It Like Dat) SZA
Broken Clocks SZA
Anything SZA
Wavy (Interlude) (feat. James Fauntleroy) SZA
Normal Girl SZA
Pretty Little Birds (feat. Isaiah Rashad) SZA
20 Something SZA
Meet Me in the Hallway Harry Styles
Sign of the Times Harry Styles
Carolina Harry Styles
Two Ghosts Harry Styles
Sweet Creature Harry Styles
Only Angel Harry Styles
Kiwi Harry Styles
Ever Since New York Harry Styles
Woman Harry Styles
From the Dining Table Harry Styles
Music For a Sushi Restaurant Harry Styles
Late Night Talking Harry Styles
Grapejuice Harry Styles
As It Was Harry Styles
Daylight Harry Styles
Little Freak Harry Styles
Matilda Harry Styles
Cinema Harry Styles
Daydreaming Harry Styles
Satellite Harry Styles
Boyfriends Harry Styles
Love Of My Life Harry Styles
I Love You's Hailee Steinfeld
Your Name Hurts Hailee Steinfeld
End This (L.O.V.E.) Hailee Steinfeld
Man Up Hailee Steinfeld
Wrong Direction Hailee Steinfeld
Norman fucking Rockwell Lana Del Rey
Mariners Apartment Complex Lana Del Rey
Venice Bitch Lana Del Rey
Fuck it I love you Lana Del Rey
Doin' Time Lana Del Rey
Love song Lana Del Rey
Cinnamon Girl Lana Del Rey
How to disappear Lana Del Rey
California Lana Del Rey
The Next Best American Record Lana Del Rey
The greatest Lana Del Rey
Bartender Lana Del Rey
Happiness is a butterfly Lana Del Rey
hope is a dangerous thing for a woman like me to have - but I have it Lana Del Rey
Autumn breeze (Feat. Milky Day) Dept
Put Your Records On Corinne Bailey Rae
Los Angeles The Midnight
Painkiller Ruel
1980s Horror Film II Wallows
Close To You Dayglow
It's Not Living (If It's Not With You) The 1975
Silhouettes Colony House
Tongue Tied GROUPLOVE
God Save Our Young Blood (with Lana Del Rey) BØRNS
Falling Chase Atlantic
What'd I Do With All This Faith? Bleachers
Stop Making This Hurt Bleachers
Nothing Is U Bleachers
I Miss Those Days Bleachers
Who I Want You to Love Bleachers
Retrospect - Single Version Vistas
we made it. david hugo
Up Granville Peach Pit
I Feel Good About This The Mowgli's
Kilby Girl The Backseat Lovers
Bloom - Bonus Track The Paper Kites
Roses The Band CAMINO
2 / 14 The Band CAMINO
Baby Blue Shades Bad Suns
8 Letters Why Don't We
Funny Zedd
To Begin Again Ingrid Michaelson
hurts 2 hate somebody (with Chase Atlantic & No Rome) ELIO
Just My Type The Vamps
Karma Olly Alexander (Years & Years)
Narcissist (feat. The 1975) No Rome
Hard On Yourself Charlie Puth
Like A Fool NIve
Walking Away Chelsea Cutler
DIFFERENT WOODZ
Wildflower 5 Seconds of Summer
With Resolve Jacob Yoffee
Don’t Forget Crush
Angel 2 Me McKay
Warning (Feat. lIlBOI) KIMSEJEONG
Afraid DAY6
Best Part (feat. H.E.R.) Daniel Caesar
Cereal Crush
Being left (Feat. Dvwn) ZICO
Make Up (Feat. Crush) Sam Kim
Hot Rod Dayglow
My Favourite Clothes RINI
Sunkissed khai dreams
넘어와 (Feat. 백예린) DEAN
SoulMate (feat. IU) ZICO
Attention SHINee
Future Red Velvet
I Don't Know Why NOTD
